id,year,doi,publisher,decision,reason,area,raw
96,2026,10.1016/j.cmpb.2025.109087,Elsevier,exclude,E3,,"Dong C, Van Dijk JP, Aarts RM, Wang Y, Long X. Detection of nocturnal epileptic seizures using a wearable armband: A deep learning approach combining accelerometry and photoplethysmography signals. Comput Methods Programs Biomed 2026;273:109087. https://doi.org/10.1016/j.cmpb.2025.109087."
97,2024,10.1016/j.measen.2024.101086,Elsevier,exclude,E3,,Yang Y. Application of wearable devices based on artificial intelligence sensors in sports human health monitoring. Meas Sens 2024;33:101086. https://doi.org/10.1016/j.measen.2024.101086.
98,2024,10.1145/3649329.3663513,ACM,exclude,E2,,"Sen S, Datta A. Invited: Human-Inspired Distributed Wearable AI. Proc. 61st ACMIEEE Des. Autom. Conf., San Francisco CA USA: ACM; 2024, p. 1–4. https://doi.org/10.1145/3649329.3663513."
99,2025,10.1038/s41598-025-06918-6,Springer Nature,include,,Education,"Gedam S, Dutta S, Jha R. Analyzing mental stress in Indian students through advanced machine learning and wearable technologies. Sci Rep 2025;15:20610. https://doi.org/10.1038/s41598-025-06918-6."
100,2023,10.2196/48340,JMIR,exclude,E3,,"Shi B, Dhaliwal SS, Soo M, Chan C, Wong J, Lam NWC, et al. Assessing Elevated Blood Glucose Levels Through Blood Glucose Evaluation and Monitoring Using Machine Learning and Wearable Photoplethysmography Sensors: Algorithm Development and Validation. JMIR AI 2023;2:e48340. https://doi.org/10.2196/48340."
101,2023,10.1016/j.jbi.2023.104556,Elsevier,include,,Benchmark,"Vos G, Trinh K, Sarnyai Z, Rahimi Azghadi M. Ensemble machine learning model trained on a new synthesized dataset generalizes well for stress prediction using wearable devices. J Biomed Inform 2023;148:104556. https://doi.org/10.1016/j.jbi.2023.104556."
102,2024,10.1371/journal.pdig.0000473,PLOS,include,,Education,"Bloomfield LSP, Fudolig MI, Kim J, Llorin J, Lovato JL, McGinnis EW, et al. Predicting stress in first-year college students using sleep data from wearable devices. PLOS Digit Health 2024;3:e0000473. https://doi.org/10.1371/journal.pdig.0000473."
103,2024,10.2196/55094,JMIR,exclude,E3,,"Corponi F, Li BM, Anmella G, Valenzuela-Pascual C, Mas A, Pacchiarotti I, et al. Wearable Data From Subjects Playing Super Mario, Taking University Exams, or Performing Physical Exercise Help Detect Acute Mood Disorder Episodes via Self-Supervised Learning: Prospective, Exploratory, Observational Study. JMIR MHealth UHealth 2024;12:e55094. https://doi.org/10.2196/55094."
104,2024,10.1016/j.measen.2024.101238,Elsevier,exclude,E3,,"Deepak G, Sharma P, Jayachitra S, Chepur J, Srihari T, Judgi T. Privacy-preserving deep learning approaches for effective utilization of wearable health data. Meas Sens 2024;33:101238. https://doi.org/10.1016/j.measen.2024.101238."
105,2026,10.1016/j.artmed.2025.103336,Elsevier,include,,Daily life,"Gabrielli D, Prenkaj B, Velardi P. Seamless monitoring of stress levels leveraging a foundational model for time sequences. Artif Intell Med 2026;173:103336. https://doi.org/10.1016/j.artmed.2025.103336."
106,2024,10.1016/j.inffus.2023.102124,Elsevier,exclude,E3,,"Ghosh AK, Catelli DS, Wilson S, Nowlan NC, Vaidyanathan R. Multi-modal detection of fetal movements using a wearable monitor. Inf Fusion 2024;103:102124. https://doi.org/10.1016/j.inffus.2023.102124."
107,2024,10.2196/52248,JMIR,exclude,E4,,"Adam E, Meiland F, Frielink N, Meinders E, Smits R, Embregts P, et al. User Requirements and Perceptions of a Sensor System for Early Stress Detection in People With Dementia and People With Intellectual Disability: Qualitative Study. JMIR Form Res 2024;8:e52248. https://doi.org/10.2196/52248."
108,2026,10.1038/s41467-025-67747-9,Springer Nature,include,,Laboratory,"Pei X, Ghandehari A, Chakoma S, Rajendran J, Tavares-Negrete JA, Esfandyarpour R. A quantitative, multimodal wearable bioelectronic device for comprehensive stress assessment and sub-classification. Nat Commun 2026;17:1150. https://doi.org/10.1038/s41467-025-67747-9."
109,2025,10.1016/j.iswa.2025.200560,Elsevier,include,,Daily life,"Kim W, Kutsuzawa G, Maruyama M. Emotion recognition and forecasting from wearable data via cluster-guided attention with cross-species pretraining. Intell Syst Appl 2025;27:200560. https://doi.org/10.1016/j.iswa.2025.200560."
110,2026,10.2196/75836,JMIR,exclude,E4,,"Peeters MWH, Mannheim I, Van Westrienen PE, Van Dijk L, Elia A, Valterova K, et al. Using a Transdisciplinary Approach in Learning Communities for Designing Wearable Stress Management for Vulnerable Populations: Development and Usability Study. JMIR Form Res 2026;10:e75836–e75836. https://doi.org/10.2196/75836."
111,2023,10.2196/47366,JMIR,exclude,E3,,"Liu J-H, Shih C-Y, Huang H-L, Peng J-K, Cheng S-Y, Tsai J-S, et al. Evaluating the Potential of Machine Learning and Wearable Devices in End-of-Life Care in Predicting 7-Day Death Events Among Patients With Terminal Cancer: Cohort Study. J Med Internet Res 2023;25:e47366. https://doi.org/10.2196/47366."
112,2025,10.1016/j.cej.2025.162180,Elsevier,exclude,E3,,"Nara K, Hirayama A, Miura Y, Takabe Y, Sasaki R, Ozawa K, et al. A wearable AI sensing system for non-invasive and experimental characterization of biological tissue hardness. Chem Eng J 2025;511:162180. https://doi.org/10.1016/j.cej.2025.162180."
113,2025,10.1039/D5SD00085H,RSC,exclude,E3,,"Kretli Zanetti J, Stefoni MC, Ferraz C, Ryan A, Israel A, Williams RM. A near-infrared fluorescent aptananosensor enables selective detection of the stress hormone cortisol in artificial cerebrospinal fluid. Sens Diagn 2025;4:1103–13. https://doi.org/10.1039/D5SD00085H."
114,2024,10.1016/j.biosx.2024.100476,Elsevier,exclude,E3,,"Bruno MG, Patella B, Ferraro M, Di Vincenzo S, Pinto P, Torino C, et al. Wearable sensor for real-time monitoring of oxidative stress in simulated exhaled breath. Biosens Bioelectron X 2024;18:100476. https://doi.org/10.1016/j.biosx.2024.100476."
115,2025,10.1109/ACCESS.2025.3643644,IEEE,include,,Clinical,"Cajal D, De La Cámara C, Posadas-De Miguel M, Torrijos N, Nadal Ó, Blanco T, et al. Evaluation of Stress Response Using Smartphone PPG for Anxiety and Depression Monitoring. IEEE Access 2025;13:212689–703. https://doi.org/10.1109/ACCESS.2025.3643644."
116,2025,10.1016/j.array.2025.100532,Elsevier,exclude,E3,,"Jain A, Bhullar S. AI-driven wearable health devices with health-aware control and secure Prognostics: Experimental and Simulation-Based Validation. Array 2025;28:100532. https://doi.org/10.1016/j.array.2025.100532."
117,2026,10.1371/journal.pone.0341744,PLOS,exclude,E4,,"Membership of GITES, Alarcos B, Díaz-Pulido B, Fernández O, Fernández-Guinea S, García Herraiz A, et al. Detection of balance in the elderly under the influence of stress (DEPIE): A cross-sectional study protocol. PLOS One 2026;21:e0341744. https://doi.org/10.1371/journal.pone.0341744."
